id,nome,cidade,capacidade,avaliacao,tipos_cozinha,faixa_preco,horario,data_abertura,aberto
1,Classic Palace Works,Zurich,168,3.9,churrasco;internacional,$$,11:00-20:00,2018-03-31,false
2,Sunny Garden Studio,Sydney,133,4.8,frutos do mar;mediterranea,$,12:00-20:00,2021-03-07,false
3,Royal Table Zone,Sydney,190,4.6,frutos do mar;mediterranea,$$$$,11:00-22:00,2019-07-04,false
4,Grand Grill Hall 83,Madrid,194,4.7,espanhola;tapas,$$$,11:00-23:00,2021-11-20,true
5,Central Kitchen Studio,Paris,114,4.6,francesa;bistro,$,09:00-21:00,2023-03-31,false
6,Classic Spot Express,Tokyo,47,4.6,japonesa;sushi,$$,08:00-20:00,2015-08-19,false
7,Grand Bistro Collective,Tokyo,49,4.4,japonesa;sushi,$,08:00-23:00,2024-04-12,false
8,Fresh Lounge Collective,Zurich,79,4.6,churrasco;internacional,$$,09:00-21:00,2018-10-31,false
9,Prime Hub Express,Tokyo,112,4.4,japonesa;sushi,$$,12:00-23:00,2016-05-01,false
10,Grand Spot Works 61,Beijing,43,4.3,chinesa;asiatica,$$$,09:00-22:00,2018-03-09,true
11,Grand Corner Delight,Delhi,56,4.7,indiana;curry,$$,09:00-20:00,2017-01-22,true
12,Elite Place Works 21,Beijing,69,4.9,chinesa;asiatica,$$$,09:00-23:00,2019-03-03,false
13,Classic Hub Corner,New York,86,3.9,americana;bbq,$$,11:00-21:00,2020-03-24,false
14,Grand Cafe Zone,Rome,83,4.0,italiana;pizzaria,$$$$,10:00-22:00,2019-06-13,true
15,Fresh Hub Point,Mexico City,162,4.8,mexicana;street-food,$$$$,10:00-21:00,2019-08-16,true
16,Modern Cafe Studio,Paris,158,4.7,francesa;bistro,$,10:00-22:00,2022-04-09,true
17,Golden Corner Corner,Zurich,179,4.4,churrasco;internacional,$,08:00-20:00,2025-09-26,false
18,Royal Palace Station,Paris,179,4.0,francesa;bistro,$$,08:00-20:00,2025-12-10,false
19,Fresh Bistro Collective,Paris,102,3.8,francesa;bistro,$$,11:00-22:00,2025-07-25,false
20,Urban Corner Hall,Rome,181,4.4,italiana;pizzaria,$$$,12:00-21:00,2024-08-21,false
21,Blue Bistro Collective 93,Seoul,64,4.2,coreana;bbq,$$,09:00-22:00,2020-09-03,true
22,Blue House Plaza 58,Tokyo,44,4.9,japonesa;sushi,$$$,11:00-20:00,2018-08-05,false
23,Royal Lounge Studio,Tokyo,77,4.0,japonesa;sushi,$$,12:00-23:00,2022-11-11,false
24,Sunny Spot Delight,Tokyo,134,4.3,japonesa;sushi,$$$$,10:00-21:00,2016-12-24,true
25,Classic Place Street,New York,173,4.3,americana;bbq,$$,10:00-22:00,2019-08-01,true
26,Royal Hub Station,Tokyo,175,4.5,japonesa;sushi,$$$$,09:00-23:00,2020-04-07,false
27,Green Bistro Hall,Rome,189,4.4,italiana;pizzaria,$,08:00-23:00,2022-10-24,true
28,Modern Garden Point,Mexico City,53,4.3,mexicana;street-food,$$,12:00-21:00,2017-05-03,true
29,Sunny Grill Hall,Madrid,86,4.3,espanhola;tapas,$$$,08:00-20:00,2015-02-27,false
30,Happy Kitchen Works,Delhi,95,4.4,indiana;curry,$$$,08:00-20:00,2024-05-05,false
31,Bella Dining Terrace,Los Angeles,67,4.8,vegana;saudavel,$$$$,10:00-21:00,2018-06-26,false
32,Classic Garden Collective,Los Angeles,189,4.8,vegana;saudavel,$,10:00-21:00,2019-12-20,true
33,Blue Kitchen Works,Delhi,77,4.7,indiana;curry,$$,09:00-23:00,2024-07-23,false
34,Bella Market Terrace,New York,152,4.3,americana;bbq,$$$$,08:00-21:00,2022-04-14,false
35,Fresh Hub Express,Beijing,100,4.8,chinesa;asiatica,$$$$,09:00-20:00,2021-09-28,false
36,Classic Corner Studio,Sydney,94,4.4,frutos do mar;mediterranea,$$$,08:00-23:00,2015-08-27,true
37,Grand Market Station,Mexico City,59,3.8,mexicana;street-food,$$,12:00-21:00,2025-02-27,true
38,Modern Garden Express,Zurich,177,4.0,churrasco;internacional,$$$$,10:00-21:00,2020-02-26,true
39,Classic Lounge Studio,Zurich,149,4.1,churrasco;internacional,$,10:00-20:00,2024-01-30,true
40,Royal Corner Terrace,Rome,161,4.5,italiana;pizzaria,$$$,08:00-21:00,2021-03-01,false
41,Prime Hub Plaza 89,Seoul,74,3.9,coreana;bbq,$$,08:00-22:00,2015-03-16,false
42,Modern Dining Corner,Tokyo,164,4.5,japonesa;sushi,$$$,09:00-21:00,2023-07-05,false
43,Royal House Street,Seoul,171,4.2,coreana;bbq,$$$$,09:00-22:00,2021-11-03,true
44,Classic Palace Terrace,Delhi,200,3.9,indiana;curry,$$$$,08:00-20:00,2024-08-19,false
45,Bella Dining Works,Seoul,107,4.5,coreana;bbq,$$,11:00-23:00,2016-11-27,true
46,Blue Bistro Works,New York,139,4.3,americana;bbq,$,10:00-22:00,2018-02-07,false
47,Sunny Palace Station,Madrid,42,4.2,espanhola;tapas,$,10:00-23:00,2017-08-17,true
48,Royal Lounge Point,Sydney,41,4.7,frutos do mar;mediterranea,$$,10:00-22:00,2024-03-01,false
49,Prime Palace Works 56,Sydney,146,4.3,frutos do mar;mediterranea,$,09:00-22:00,2024-10-24,true
50,Elite Hub Studio,New York,153,4.4,americana;bbq,$$,11:00-23:00,2022-05-22,false
51,Sunny Palace Terrace 92,Mexico City,47,4.8,mexicana;street-food,$,11:00-22:00,2018-01-14,false
52,Sunny Garden Works,Mexico City,62,3.8,mexicana;street-food,$$$,09:00-20:00,2019-10-13,false
53,Blue House Corner,Beijing,69,3.8,chinesa;asiatica,$$$,12:00-23:00,2024-11-15,false
54,Modern Table Zone,Tokyo,181,4.2,japonesa;sushi,$$,11:00-22:00,2020-10-12,false
55,Central House Works,Madrid,127,4.7,espanhola;tapas,$$,10:00-23:00,2022-02-26,false
56,Prime Garden Street,Madrid,149,4.1,espanhola;tapas,$$,10:00-21:00,2015-10-08,true
57,Fresh Bistro Terrace,New York,81,4.4,americana;bbq,$,08:00-20:00,2025-03-30,true
58,Elite Garden Plaza,Beijing,59,4.5,chinesa;asiatica,$$$$,09:00-22:00,2015-04-27,false
59,Classic Lounge Delight,Los Angeles,97,4.6,vegana;saudavel,$$$,11:00-21:00,2023-06-24,false
60,Golden Kitchen Works,Madrid,100,4.9,espanhola;tapas,$$$,08:00-23:00,2017-11-27,false
61,Urban Market Street 32,Rome,58,4.4,italiana;pizzaria,$$$$,12:00-21:00,2025-07-12,false
62,Fresh Bistro Works,Rome,134,4.4,italiana;pizzaria,$,12:00-20:00,2019-02-08,true
63,Green Garden Collective 2,Sydney,158,4.0,frutos do mar;mediterranea,$$$,12:00-20:00,2023-05-04,true
64,Golden Corner Works,Delhi,119,4.8,indiana;curry,$$$,10:00-22:00,2019-02-03,true
65,Central Cafe Delight,New York,109,4.8,americana;bbq,$,08:00-20:00,2023-12-04,false
66,Classic Grill Point 96,Rome,41,4.2,italiana;pizzaria,$$,11:00-21:00,2016-07-27,false
67,Blue Cafe Zone,Sydney,164,4.1,frutos do mar;mediterranea,$,11:00-23:00,2019-04-09,false
68,Classic Palace Plaza,Sydney,165,4.1,frutos do mar;mediterranea,$$$,09:00-22:00,2018-07-21,true
69,Golden Market Hall,Mexico City,74,4.6,mexicana;street-food,$$$$,12:00-22:00,2022-04-04,false
70,Fresh Garden Corner,Mexico City,93,4.1,mexicana;street-food,$$$,08:00-21:00,2015-04-12,true
71,Green Palace Plaza,Mexico City,104,4.2,mexicana;street-food,$$$,11:00-20:00,2022-02-13,false
72,Classic Dining Delight,Mexico City,79,4.2,mexicana;street-food,$$$$,08:00-22:00,2022-08-07,false
73,Central Spot Street,Mexico City,141,4.2,mexicana;street-food,$$$$,11:00-20:00,2019-05-15,true
74,Elite Place Plaza,Seoul,196,4.1,coreana;bbq,$$,10:00-20:00,2017-06-16,true
75,Modern Palace Hall,Delhi,88,4.0,indiana;curry,$$$$,10:00-20:00,2022-10-06,false
76,Fresh Spot Station,Rome,87,4.8,italiana;pizzaria,$$$,12:00-23:00,2016-01-28,true
77,Elite Kitchen Street,Los Angeles,73,4.3,vegana;saudavel,$,11:00-23:00,2021-06-08,false
78,Grand Kitchen Point,Beijing,150,4.2,chinesa;asiatica,$,08:00-23:00,2024-11-13,true
79,Green Dining Delight,Zurich,187,4.4,churrasco;internacional,$,11:00-20:00,2023-05-23,false
80,Grand Place Works 65,Delhi,185,4.2,indiana;curry,$,08:00-22:00,2022-10-10,false
81,Prime Bistro Works,Rome,135,4.8,italiana;pizzaria,$,08:00-23:00,2022-08-01,true
82,Prime Corner Terrace 50,Beijing,194,4.4,chinesa;asiatica,$$$,11:00-22:00,2024-03-27,true
83,Royal Palace Hall,Seoul,152,3.9,coreana;bbq,$$$,12:00-20:00,2023-06-23,false
84,Sunny Place Collective,New York,66,4.5,americana;bbq,$$$,08:00-21:00,2025-11-07,false
85,Blue Palace Delight,Seoul,192,4.0,coreana;bbq,$$$,12:00-21:00,2021-07-19,true
86,Green Hub Studio,Mexico City,142,4.7,mexicana;street-food,$,11:00-20:00,2025-08-05,false
87,Royal Bistro Hall,Mexico City,108,4.8,mexicana;street-food,$$$,12:00-20:00,2023-04-20,true
88,Sunny Table Street,Beijing,163,4.2,chinesa;asiatica,$$$$,10:00-22:00,2023-10-31,true
89,Happy Corner Studio,Sydney,103,4.1,frutos do mar;mediterranea,$,12:00-22:00,2018-05-09,true
90,Elite Bistro Hall,Sydney,97,3.9,frutos do mar;mediterranea,$$,12:00-23:00,2023-04-30,true
91,Classic Bistro Hall,Paris,122,4.2,francesa;bistro,$$$$,08:00-22:00,2025-04-14,false
92,Happy Corner Zone 5,Zurich,141,4.3,churrasco;internacional,$$$,08:00-21:00,2016-09-18,false
93,Green Lounge Express,Tokyo,87,4.8,japonesa;sushi,$$$$,11:00-20:00,2020-02-19,false
94,Green Grill Station,Rome,165,4.4,italiana;pizzaria,$,10:00-23:00,2019-06-03,true
95,Sunny Market Delight,New York,72,4.3,americana;bbq,$$$,09:00-20:00,2021-12-01,false
96,Fresh Lounge Plaza,New York,119,4.5,americana;bbq,$$$,09:00-20:00,2018-12-17,false
97,Prime Palace Plaza,Los Angeles,190,4.6,vegana;saudavel,$$$,12:00-21:00,2020-05-22,false
98,Urban Lounge Plaza,Rome,147,4.2,italiana;pizzaria,$$$,11:00-23:00,2019-03-30,false
99,Fresh Cafe Corner,Beijing,42,4.3,chinesa;asiatica,$,10:00-21:00,2019-10-05,true
100,Central Bistro Corner,Delhi,196,4.5,indiana;curry,$$$$,10:00-22:00,2018-01-14,true
101,Fresh Spot Terrace,Paris,72,4.9,francesa;bistro,$$,08:00-22:00,2024-09-24,true
102,Royal Market Studio,Mexico City,192,4.5,mexicana;street-food,$$$$,09:00-23:00,2016-12-23,false
103,Central Grill Delight,Paris,138,4.2,francesa;bistro,$$,10:00-21:00,2023-04-09,true
104,Royal Lounge Collective,Rome,78,4.8,italiana;pizzaria,$$$$,10:00-23:00,2016-08-02,false
105,Bella Cafe Point 21,Rome,127,4.8,italiana;pizzaria,$$,08:00-21:00,2022-02-12,false
106,Prime Kitchen Street 25,Sydney,135,4.4,frutos do mar;mediterranea,$$$$,10:00-20:00,2025-11-06,true
107,Golden Garden Collective,Madrid,55,4.8,espanhola;tapas,$$,08:00-22:00,2023-04-07,false
108,Central Table Station 15,Mexico City,107,4.0,mexicana;street-food,$$$$,10:00-20:00,2025-07-29,false
109,Urban Place Terrace 46,Mexico City,168,3.9,mexicana;street-food,$$$,09:00-22:00,2017-01-15,false
110,Modern Kitchen Corner,Sydney,62,4.6,frutos do mar;mediterranea,$$,12:00-21:00,2025-03-20,true
